"JuhtumId","ToimKpv","ToimKell","ToimNadalapaev","ToimLoppKpv","ToimLoppKell","SyndmusLiik","SyndmusTaiendavStatLiik","SissetungimiseLiik","Valve","Seadus","Paragrahv","ParagrahvTais","Loige","Punkt","RikutudOigusnorm","Kahjusumma","KohtLiik","MaakondNimetus","ValdLinnNimetus","KohtNimetus","Lest_X_1","Lest_X_2","Lest_Y_1","Lest_Y_2","SoidukLiik","SoidukMark","SoidukVlAasta","SyyteoLiik","L-EST","Coord_X","Coord_Y"
"996e6b6c-14c8-18d6-a4bc-97886cf239c4","2018-06-21","14:47","Neljapäev","","","MUU","MUU_VARGUS","AKEN_LAHTI","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588500","6588999","738500","738999","","",NA,"KT","6588749.5,738749.5",59.36943803,28.20173299
"d75fe16c-d76a-18d5-a4bc-97886cf239c4","2018-06-19","23:00","Teisipäev","2018-06-20","07:30","VARGUS","MUU_VARGUS","AKEN_LAHTI","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","738500","738999","","",NA,"KT","6589749.5,738749.5",59.37839688,28.20283424
"d75fe144-d76a-18d5-a4bc-97886cf239c4","2018-06-17","19:00","Pühapäev","2018-06-17","20:00","PISIVARGUS","","VABA","ILMA_VALVETA","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 199 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","736500","736999","","",NA,"VT","6589249.5,736749.5",59.37503676,28.16717198
"28775466-ed52-18d5-a4bc-97886cf239c4","2018-06-16","","Laupäev  ","2018-07-08","","VARGUS","MUU_VARGUS","VALEVOTMEGA","VIDEOVALVE","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737500","737999","","",NA,"KT","6590249.5,737749.5",59.38343725,28.18582501
"d75fd6a4-d76a-18d5-a4bc-97886cf239c4","2018-06-13","22:30","Kolmapäev","2018-06-14","09:15","VARGUS","MUU_VARGUS","AKEN_LAHTI","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","736000","736499","","",NA,"KT","6589749.5,736249.5",59.37979471,28.15893871
"d75fda82-d76a-18d5-a4bc-97886cf239c4","2018-06-12","02:00","Teisipäev","","","MUU","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 201 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","737000","737499","","",NA,"VT","6589749.5,737249.5",59.37923734,28.17649735
"d75fd578-d76a-18d5-a4bc-97886cf239c4","2018-06-09","10:00","Laupäev  ","2018-06-09","12:00","VARGUS","MOBIILTELEFONIVARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588000","6588499","737500","737999","","",NA,"KT","6588249.5,737749.5",59.36551927,28.18363167
"d75fcda8-d76a-18d5-a4bc-97886cf239c4","2018-06-08","19:00","Reede     ","2018-06-10","19:00","VARGUS","MUU_VARGUS","AKEN_LAHTI","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589500","6589999","738000","738499","","",NA,"KT","6589749.5,738249.5",59.37867762,28.19405542
"d75fcc22-d76a-18d5-a4bc-97886cf239c4","2018-06-08","00:01","Reede     ","2018-06-08","05:30","VARGUS","MOBIILTELEFONIVARGUS","AKNA_PURUSTAMINE","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","737500","737999","","",NA,"KT","6589249.5,737749.5",59.37447828,28.18472805
"d75fca42-d76a-18d5-a4bc-97886cf239c4","2018-06-07","10:00","Neljapäev","2018-06-07","14:00","PISIVARGUS","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 199 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590500","6590999","736500","736999","","",NA,"VT","6590749.5,736749.5",59.38847542,28.16881077
"d75fc31c-d76a-18d5-a4bc-97886cf239c4","2018-06-03","22:13","Pühapäev","","","MUU","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588500","6588999","737500","737999","","",NA,"VT","6588749.5,737749.5",59.36999878,28.18417979
